to,from,documentation
"Strongylocentrotus","Strongylocentrotus droebachiensis","Identification: hard to distinguish"
"Sebastes","Sebastes norvegicus","Identification: hard to distinguish"
"Sebastes","Sebastes mentella","Identification: hard to distinguish"
"Henricia","Henricia sanguinolenta","Identification: hard to distinguish"
"Porifera","Tentorium semisuberites","Hard to distinguish in the field. Porifera is coarse, but represent a widely distributed group that would be vastly underestimated if left out. We therefore combine them at the 'Porifera' level, only leaving 'Stylocordyla borealis' as a species, as it is easily identified"
"Porifera","Radiella hemisphaerica","Hard to distinguish in the field. Porifera is coarse, but represent a widely distributed group that would be vastly underestimated if left out. We therefore combine them at the 'Porifera' level, only leaving 'Stylocordyla borealis' as a species, as it is easily identified"
"Porifera","Polymastia","Hard to distinguish in the field. Porifera is coarse, but represent a widely distributed group that would be vastly underestimated if left out. We therefore combine them at the 'Porifera' level, only leaving 'Stylocordyla borealis' as a species, as it is easily identified"
"Porifera","Halichondia panicea","Hard to distinguish in the field. Porifera is coarse, but represent a widely distributed group that would be vastly underestimated if left out. We therefore combine them at the 'Porifera' level, only leaving 'Stylocordyla borealis' as a species, as it is easily identified"
"Porifera","Haliclona oculata","Hard to distinguish in the field. Porifera is coarse, but represent a widely distributed group that would be vastly underestimated if left out. We therefore combine them at the 'Porifera' level, only leaving 'Stylocordyla borealis' as a species, as it is easily identified"
"Porifera","Haliclona","Hard to distinguish in the field. Porifera is coarse, but represent a widely distributed group that would be vastly underestimated if left out. We therefore combine them at the 'Porifera' level, only leaving 'Stylocordyla borealis' as a species, as it is easily identified"
"Porifera","Mycale lingua","Hard to distinguish in the field. Porifera is coarse, but represent a widely distributed group that would be vastly underestimated if left out. We therefore combine them at the 'Porifera' level, only leaving 'Stylocordyla borealis' as a species, as it is easily identified"
"Porifera","Phakelia","Hard to distinguish in the field. Porifera is coarse, but represent a widely distributed group that would be vastly underestimated if left out. We therefore combine them at the 'Porifera' level, only leaving 'Stylocordyla borealis' as a species, as it is easily identified"
"Porifera","Suberites ficus","Hard to distinguish in the field. Porifera is coarse, but represent a widely distributed group that would be vastly underestimated if left out. We therefore combine them at the 'Porifera' level, only leaving 'Stylocordyla borealis' as a species, as it is easily identified"
"Porifera","Weberella bursa","Hard to distinguish in the field. Porifera is coarse, but represent a widely distributed group that would be vastly underestimated if left out. We therefore combine them at the 'Porifera' level, only leaving 'Stylocordyla borealis' as a species, as it is easily identified"
"Atolla wyvillei","Atolla","Very likely the same species"
"Hormathia nodosa","Hormathia","Very likely the same species"
"Hormathia nodosa","Hormathia tuberculosa","Very likely the same species"
"Illex illecebrosus","Illex","Very likely the same species"
"Polynoidae","Euphrosine borealis","Identification: can be hard to distinguish in the field and they are species that generally have similar functional roles and habitat requirements. Only 'Aphroditella hastata' is left as a species, as it is frequently caught and easily identifiable due to its size"
"Polynoidae","Harmothoe","Identification: can be hard to distinguish in the field and they are species that generally have similar functional roles and habitat requirements. Only 'Aphroditella hastata' is left as a species, as it is frequently caught and easily identifiable due to its size"
"Polynoidae","Eunoe nodosa","Identification: can be hard to distinguish in the field and they are species that generally have similar functional roles and habitat requirements. Only 'Aphroditella hastata' is left as a species, as it is frequently caught and easily identifiable due to its size"
"Polynoidae","Laetmonice filicornis","Identification: can be hard to distinguish in the field and they are species that generally have similar functional roles and habitat requirements. Only 'Aphroditella hastata' is left as a species, as it is frequently caught and easily identifiable due to its size"
"Aphrodita hastata","Aphrodita","Identification: can be hard to distinguish in the field and they are species that generally have similar functional roles and habitat requirements. Only 'Aphroditella hastata' is left as a species, as it is frequently caught and easily identifiable due to its size"
"Aphrodita hastata","Aphrodita aculeata","Identification: can be hard to distinguish in the field and they are species that generally have similar functional roles and habitat requirements. Only 'Aphroditella hastata' is left as a species, as it is frequently caught and easily identifiable due to its size"
"Ascidiacea","Pelonaia corrugata","Hard to distinguish in the field. Ascidiacea is coarse, but represent a widely distributed group that would be vastly underestimated if left out. We therefore combine them at the 'Ascidiacea' level, only leaving 'Boltenia ovifera' and 'Eudistoma vitreum' as species, as they are easily identified"
"Ascidiacea","Botrylloides","Hard to distinguish in the field. Ascidiacea is coarse, but represent a widely distributed group that would be vastly underestimated if left out. We therefore combine them at the 'Ascidiacea' level, only leaving 'Boltenia ovifera' and 'Eudistoma vitreum' as species, as they are easily identified"
"Ascidiacea","Ascidia","Hard to distinguish in the field. Ascidiacea is coarse, but represent a widely distributed group that would be vastly underestimated if left out. We therefore combine them at the 'Ascidiacea' level, only leaving 'Boltenia ovifera' and 'Eudistoma vitreum' as species, as they are easily identified"
"Ascidiacea","Cnemidocarpa finmarkiensis","Hard to distinguish in the field. Ascidiacea is coarse, but represent a widely distributed group that would be vastly underestimated if left out. We therefore combine them at the 'Ascidiacea' level, only leaving 'Boltenia ovifera' and 'Eudistoma vitreum' as species, as they are easily identified"
"Ascidiacea","Synoicum pulmonaria","Hard to distinguish in the field. Ascidiacea is coarse, but represent a widely distributed group that would be vastly underestimated if left out. We therefore combine them at the 'Ascidiacea' level, only leaving 'Boltenia ovifera' and 'Eudistoma vitreum' as species, as they are easily identified"
"Ascidiacea","Polycarpa fibrosa","Hard to distinguish in the field. Ascidiacea is coarse, but represent a widely distributed group that would be vastly underestimated if left out. We therefore combine them at the 'Ascidiacea' level, only leaving 'Boltenia ovifera' and 'Eudistoma vitreum' as species, as they are easily identified"
"Ascidiacea","Halocynthia pyriformis","Hard to distinguish in the field. Ascidiacea is coarse, but represent a widely distributed group that would be vastly underestimated if left out. We therefore combine them at the 'Ascidiacea' level, only leaving 'Boltenia ovifera' and 'Eudistoma vitreum' as species, as they are easily identified"
"Ascidiacea","Boltenia echinata","Hard to distinguish in the field. Ascidiacea is coarse, but represent a widely distributed group that would be vastly underestimated if left out. We therefore combine them at the 'Ascidiacea' level, only leaving 'Boltenia ovifera' and 'Eudistoma vitreum' as species, as they are easily identified"
"Ascidiacea","Boltenia","Hard to distinguish in the field. Ascidiacea is coarse, but represent a widely distributed group that would be vastly underestimated if left out. We therefore combine them at the 'Ascidiacea' level, only leaving 'Boltenia ovifera' and 'Eudistoma vitreum' as species, as they are easily identified"
"Ascidiacea","Tunicata","Hard to distinguish in the field. Ascidiacea is coarse, but represent a widely distributed group that would be vastly underestimated if left out. We therefore combine them at the 'Ascidiacea' level, only leaving 'Boltenia ovifera' and 'Eudistoma vitreum' as species, as they are easily identified"
"Tritia","Tritia obsoleta","Only consider genus level"
"Ophiura","Ophiura sarsii","Species easily distinguishable, but often found in similar locations and O. robusta is smaller and often hard to distinguish in trawl among important biomass of O. sarsii"
"Ophiura","Ophiura robusta","Species easily distinguishable, but often found in similar locations and O. robusta is smaller and often hard to distinguish in trawl among important biomass of O. sarsii"
"Actinauge","Actinauge verrillii","Very likely the same species, in any case will represent the same group. Combine at the genus level, as other less frequent species might be included. Keep in mind that the most likely species is the one being aggregated"
"Actinauge","Actinauge cristata","Very likely the same species, in any case will represent the same group. Combine at the genus level, as other less frequent species might be included. Keep in mind that the most likely species is the one being aggregated"
"Actinostola","Actinostola callosa","Very likely the same species, in any case will represent the same group. Combine at the genus level, as other less frequent species might be included. Keep in mind that the most likely species is the one being aggregated"
"Bolocera","Bolocera tuediae","Very likely the same species, in any case will represent the same group. Combine at the genus level, as other less frequent species might be included. Keep in mind that the most likely species is the one being aggregated"
"Stephanauge","Stephanauge nexilis","Very likely the same species, in any case will represent the same group. Combine at the genus level, as other less frequent species might be included. Keep in mind that the most likely species is the one being aggregated"
"Bryozoa","Bryozoans","'Bryozoa | Alcyonidium sp. | Alcyonidium pachydermatum | Reteporella grimaldii | Securiflustra securifrons | Caberea ellisii'. Bryozoa retained, coarse but represent a widely distributed group that would be vastly underestimated if left out. Other 4 species and 1 genus are larger, errected species more easily recognized, hence they are kept individually. Since there is not a lot of data to describe them, however, it may be wise to group them all under the bryozoa umbrella for the analysis."
"Bryozoa","Bryozoans brachiopoda","'Bryozoa | Alcyonidium sp. | Alcyonidium pachydermatum | Reteporella grimaldii | Securiflustra securifrons | Caberea ellisii'. Bryozoa retained, coarse but represent a widely distributed group that would be vastly underestimated if left out. Other 4 species and 1 genus are larger, errected species more easily recognized, hence they are kept individually. Since there is not a lot of data to describe them, however, it may be wise to group them all under the bryozoa umbrella for the analysis."
"Bryozoa","Bryozoans ectoprocta","'Bryozoa | Alcyonidium sp. | Alcyonidium pachydermatum | Reteporella grimaldii | Securiflustra securifrons | Caberea ellisii'. Bryozoa retained, coarse but represent a widely distributed group that would be vastly underestimated if left out. Other 4 species and 1 genus are larger, errected species more easily recognized, hence they are kept individually. Since there is not a lot of data to describe them, however, it may be wise to group them all under the bryozoa umbrella for the analysis."
"Alcyonidium","Alcyonidium pachydermatum","Hard to distinguish in the field; generally similar functional roles and habitats. Grouped at genus level"
"Nuculana","Nuculana tenuisulcata","Hard to distinguish in the field; generally similar functional roles and habitats. Grouped at genus level"
"Mytilus","Mytilus edulis","Hard to distinguish in the field; generally similar functional roles and habitats. Grouped at genus level"
"Astarte","Astarte subaequilatera","Hard to distinguish in the field; generally similar functional roles and habitats. Grouped at genus level"
"Astarte","Astarte borealis","Hard to distinguish in the field; generally similar functional roles and habitats. Grouped at genus level"
"Astarte","Astarte undata","Hard to distinguish in the field; generally similar functional roles and habitats. Grouped at genus level"
"Buccinum","Buccinum scalariforme","Hard to distinguish in the field; generally similar functional roles and habitats. Grouped at genus level"
