remove,documentation
"Acanthephyra pelagica","Surveys not designed to capture these taxa, pelagic species"
"Acanthephyra","Surveys not designed to capture these taxa, pelagic species"
"Acipenseridae","Group is too coarse"
"Acipenseriformes","Group is too coarse"
"Actiniaria","Group is too coarse# Group is too coarse"
"Agarum clathratum","Surveys not designed to capture these taxa"
"Agarum","Surveys not designed to capture these taxa"
"Agonidae","Group is too coarse"
"Alcidae","Group is too coarse"
"Alcyonacea","Group is too coarse"
"Alosa","Group is too coarse"
"Ammodytidae","Group is too coarse"
"Amphipoda","Group is too coarse"
"Anarhichadidae","Group is too coarse"
"Anguilliformes","Group is too coarse"
"Anguilloidei","Group is too coarse"
"Annelida","Group is too coarse"
"Anthozoa","Group is too coarse"
"Aphroditidae","Group is too coarse"
"Archaeogastropoda","Group is too coarse"
"Argentinidae","Group is too coarse"
"Argis","Group is too coarse"
"Asteriidae","Group is too coarse"
"Asteroidea","Group is tåoo coarse"
"Bivalvia","Group is too coarse"
"Brachyura","Group is too coarse"
"Brada inhabilis","Identification difficult, likely grouped as 'Polychaeta'"
"Buccinidae","Group is too coarse"
"Cadlina laevis","coastal species # Surveys not designed to capture these taxa"
"Cancridae","Group is too coarse"
"Cardiidae","Group is too coarse"
"Cephalaspidea","Group is too coarse"
"Cephalopoda","Group is too coarse"
"Ceratiidae","Group is too coarse"
"Chauliodontinae","Group is too coarse"
"Chondrichthyes","Group is too coarse"
"Chondrus crispus","Surveys not designed to capture these taxa"
"Cirripedia","Group is too coarse"
"Clupeidae","Group is too coarse"
"Clypeasteroida","Group is too coarse"
"Cnidaria","Group is too coarse"
"Coelenterata","Group is too coarse"
"Copepoda","Group is too coarse"
"Cottidae","Group is too coarse"
"Crangonidae","Group is too coarse"
"Crustacea","Group is too coarse"
"Cryptodonta","Group is too coarse"
"Ctenophora","Group is too coarse"
"Cumacea","Group is too coarse"
"Cyclopteridae","Group is too coarse"
"Decapoda","Group is too coarse"
"Dentaliidae","Group is too coarse"
"Diodontidae","Group is too coarse"
"Echinodermata","Group is too coarse"
"Echinoidea","Group is too coarse"
"Echiura","Group is too coarse"
"Epitonium","Likely mistaken for Boreotrophon"
"Eualus","species readily identified"
"Euphausiacea","Group is too coarse & survey not designed to capture this taxon"
"Fecampiidae","Group is too coarse & survey not designed to capture this taxon"
"Flabelligeridae","Group is too coarse"
"Gadidae","Group is too coarse"
"Gadus","Component species differ in spatial distribution"
"Gammaridea","Group is too coarse"
"Gammarus","Coastal species # Surveys not designed to capture these taxa"
"Gasterosteidae","alternatively, could be combined with Gasterosteus aculeatus aculeatus"
"Gastropoda","Group is too coarse"
"Golfingia (golfingia) margaritacea","Hard to identify in the field"
"Golfingia margaritacea","Hard to identify in the field"
"Holothuroidea","Group is too coarse"
"Hyas","Species easily identifiable and mostly identified in the dataset"
"Hydrozoa","probably composed of pelagic hydrozoa P. lactea and S. martensii which can be confounded with scyphozoa A. aurita"
"Hyperiidea","Group is too coarse"
"Incirrina","Group is too coarse"
"Invertebrata","Group is too coarse"
"Isididae","Group is too coarse"
"Isopoda","Group is too coarse"
"Laminaria","Surveys not designed to capture these taxa"
"Lamnidae","Group is too coarse"
"Lamniformes","Group is too coarse"
"Lebbeus","species readily identified"
"Lepidoteuthidae","Group is too coarse"
"Liparidae","Group is too coarse"
"Liparis","species distinguishable"
"Lithodidae","Group is too coarse"
"Littorinidae","Group is too coarse"
"Loliginidae","Group is too coarse"
"Loligo pealei","Species from the East American coast, wrongly identified in the St. Lawrence in the past. See C. Nozères catalog for more information"
"Lumpenus","too coarse"
"Lycenchelys","species distinguishable"
"Lycodes","species distinguishable"
